Genes,log2foldChange,pValues,FDR
ENSG00000152766.6,1.170786929,2.52E-22,2.35E-21
ENSG00000152954.12,1.028431902,2.46E-16,1.22E-15
ENSG00000153347.10,1.240856558,5.26E-15,2.30E-14
ENSG00000153976.3,1.409928878,2.08E-15,9.47E-15
ENSG00000154146.13,1.61571541,2.55E-05,4.74E-05
ENSG00000154165.5,1.615295739,0.001016566,0.001608414
ENSG00000154198.15,1.483225052,9.26E-09,2.34E-08
ENSG00000154608.14,2.530333267,1.62E-12,5.70E-12
ENSG00000154920.15,1.11674415,1.32E-29,3.56E-28
ENSG00000155428.12,1.054600066,1.23E-09,3.36E-09
ENSG00000155897.10,1.458207738,1.42E-16,7.19E-16
ENSG00000156206.14,1.204062459,0.000418107,0.000688894
ENSG00000156234.8,1.615486183,2.96E-13,1.11E-12
ENSG00000156466.11,3.451291151,1.90E-14,7.88E-14
ENSG00000156920.11,1.099132935,5.19E-10,1.47E-09
ENSG00000156959.9,4.792412067,9.18E-14,3.57E-13
ENSG00000156970.13,1.258662509,3.87E-38,3.21E-35
ENSG00000157315.5,3.084047518,2.92E-05,5.39E-05
ENSG00000157766.19,1.458997586,5.86E-20,4.23E-19
ENSG00000158022.7,1.079679,5.72E-13,2.09E-12
ENSG00000158482.10,3.379436603,2.33E-05,4.34E-05
ENSG00000158578.21,3.099123016,0.000392739,0.000648943
ENSG00000159648.13,1.873936728,2.41E-18,1.47E-17
ENSG00000159708.18,2.308266407,0.001643199,0.002542301
ENSG00000159958.7,1.689835242,8.39E-14,3.28E-13
ENSG00000160161.9,3.063935329,1.20E-26,1.96E-25
ENSG00000160318.6,1.605727946,0.00010718,0.000187162
ENSG00000160471.13,1.875471666,4.41E-10,1.25E-09
ENSG00000160818.17,2.198505561,1.97E-18,1.21E-17
ENSG00000160856.21,2.432975741,6.41E-15,2.77E-14
ENSG00000161031.13,1.553647391,7.60E-12,2.52E-11
ENSG00000161082.13,2.399887065,2.48E-05,4.62E-05
ENSG00000161180.11,1.160540998,2.23E-11,7.11E-11
ENSG00000161594.7,1.738219701,1.75E-17,9.71E-17
ENSG00000161888.12,1.91310936,4.97E-36,8.56E-34
ENSG00000162062.15,2.849965988,1.55E-32,8.14E-31
ENSG00000162620.16,5.910973103,6.27E-05,0.000112122
ENSG00000162728.5,2.126972588,0.000247109,0.000416753
ENSG00000162761.14,2.256980946,2.47E-25,3.33E-24
ENSG00000162849.16,1.408803919,1.15E-29,3.15E-28
ENSG00000162888.4,4.667643004,4.37E-27,7.67E-26
ENSG00000162947.5,1.076816984,2.68E-11,8.48E-11
ENSG00000163064.7,2.491135769,3.32E-12,1.14E-11
ENSG00000163362.11,1.147122496,6.44E-25,8.23E-24
ENSG00000163508.13,1.150458734,1.93E-12,6.73E-12
ENSG00000163519.14,2.323229432,2.43E-14,9.94E-14
ENSG00000163568.16,1.153498164,5.14E-17,2.72E-16
ENSG00000163581.14,4.521810875,3.92E-19,2.59E-18
ENSG00000163599.18,1.379563443,3.64E-21,2.97E-20
ENSG00000163600.13,2.980010158,3.37E-27,6.01E-26
ENSG00000163666.10,4.376781534,3.13E-10,9.04E-10
ENSG00000163673.8,1.853007326,0.00546987,0.007974066
ENSG00000163689.21,1.518378834,4.78E-22,4.31E-21
ENSG00000163806.16,1.101435098,0.008020062,0.011457606
ENSG00000163808.17,1.277682311,2.85E-36,5.52E-34
ENSG00000164045.12,1.871696671,5.55E-37,1.55E-34
ENSG00000164087.8,1.156107853,3.64E-35,4.50E-33
ENSG00000164109.14,1.01834229,1.94E-37,7.84E-35
ENSG00000164270.19,1.315834641,1.17E-09,3.22E-09
ENSG00000164588.8,1.442652229,5.63E-14,2.23E-13
ENSG00000164604.14,1.49675494,2.10E-07,4.72E-07
ENSG00000164611.13,1.707643945,1.82E-39,1.15E-35
ENSG00000164620.9,1.571235423,3.20E-28,6.77E-27
ENSG00000164621.5,2.237500301,2.10E-10,6.15E-10
ENSG00000164796.18,1.492780439,1.16E-13,4.49E-13
ENSG00000164845.17,1.272909477,1.14E-06,2.38E-06
ENSG00000165023.7,1.291299263,2.57E-05,4.76E-05
ENSG00000165061.15,1.348608091,5.47E-08,1.29E-07
ENSG00000165076.14,7.918220792,4.49E-09,1.17E-08
ENSG00000165204.3,1.045471013,0.000290187,0.000486144
ENSG00000165304.8,1.834264357,9.55E-38,5.23E-35
ENSG00000165370.3,1.599708888,3.10E-15,1.39E-14
