"","log2foldChange","pValues","FDR"
"ENSG00000104825.17",0.618563115827821,1.59212205884531e-22,1.51982495072656e-21
"ENSG00000104826.15",-0.825880350404122,0.000173804630816838,0.000297409162674807
"ENSG00000104833.12",-0.212097589050269,0.166729856202036,0.198200512366678
"ENSG00000104835.15",-0.389307336020526,9.24656929307778e-05,0.000162410678495011
"ENSG00000104848.2",0.295336036326867,0.00551643255607342,0.00803927125949481
"ENSG00000104852.15",-0.0261928158598639,0.00513910538026095,0.00751294094937957
"ENSG00000104853.16",0.0934657369843586,2.23432141367806e-11,7.1147084799543e-11
"ENSG00000104856.15",0.278987816771808,3.87596227997133e-17,2.07722591453784e-16
"ENSG00000104859.15",-0.0296558245838966,0.0149519136607532,0.0206777051081686
"ENSG00000104863.12",0.513833397009198,9.68895628818885e-07,2.04803568790517e-06
"ENSG00000104866.11",0.123927525976084,1.09504383819695e-08,2.75318383157134e-08
"ENSG00000104870.13",-0.112023463070689,3.29194621863527e-11,1.0329133756702e-10
"ENSG00000104872.11",0.104391041160851,8.19918833631485e-15,3.51078187160565e-14
"ENSG00000104879.5",-0.198086011734336,0.0244588814424134,0.0328794860063228
"ENSG00000104880.19",0.131954411890368,2.24019708321556e-18,1.36625740185533e-17
"ENSG00000104881.16",-0.000984611013798385,0.842377513912046,0.861793219786403
"ENSG00000104883.8",-0.14038110217847,0.0216891472900239,0.0293569212944538
"ENSG00000104884.17",0.201937939235585,1.86514323276316e-15,8.52545575142756e-15
"ENSG00000104885.19",0.0389083230444327,0.0310713744667398,0.041229995944855
"ENSG00000104886.12",0.191758552343915,1.37301941048372e-18,8.57675729917438e-18
"ENSG00000104889.7",0.700609663832817,1.22281664359552e-35,1.80312544594798e-33
"ENSG00000104892.17",0.0596980639633762,0.144811787726633,0.173931795949387
"ENSG00000104894.12",0.321101616959814,8.65256723655545e-16,4.07216341433777e-15
"ENSG00000104897.10",0.018338501077163,0.440663589180012,0.484968708735159
"ENSG00000104901.7",-0.37390595313966,0.0055790730072649,0.00812361128968011
"ENSG00000104903.5",0.105615550772918,0.0844580788215482,0.105241477839266
"ENSG00000104904.12",0.109219870203042,5.1805788794844e-22,4.64465170455031e-21
"ENSG00000104907.13",0.137095990407178,4.80622085050973e-12,1.62329699048545e-11
"ENSG00000104915.15",0.177717106550228,4.69003563634794e-21,3.78647230856614e-20
"ENSG00000104918.8",-0.535216592478762,0.000135703657140728,0.000234779268285383
"ENSG00000104936.20",-0.141119690525637,5.28043034899306e-08,1.25062609447078e-07
"ENSG00000104946.14",-0.0693814777862653,0.00132889052773574,0.00207622644675171
"ENSG00000104951.16",1.76245001649995,5.10737455139274e-32,2.37345886160253e-30
"ENSG00000104953.20",-0.686511816988922,0.129527125740274,0.156783080373336
"ENSG00000104957.14",0.0196827292764323,0.165886325969042,0.197289522811915
"ENSG00000104960.15",0.00540964428187741,0.702052361264138,0.734276145689083
"ENSG00000104964.15",1.95437152854303e-05,0.855331253146734,0.873501310733643
"ENSG00000104967.8",-1.33755514127921,8.4330638486827e-27,1.4103080768972e-25
"ENSG00000104969.11",0.0676163166970868,2.64992153668335e-05,4.91151459098471e-05
"ENSG00000104972.16",0.937098348750675,2.24662618156162e-23,2.36466271841718e-22
"ENSG00000104973.19",0.0748456266918468,0.000329613637479331,0.000549284426793185
"ENSG00000104974.12",0.0213967908518889,0.682401917509175,0.716460110633071
"ENSG00000104976.13",0.142567744401795,6.9990690776087e-06,1.36479399630832e-05
"ENSG00000104979.9",0.205355696511111,6.77703141910191e-27,1.15220804132636e-25
"ENSG00000104980.8",0.161670814702349,2.33484495775416e-16,1.16083692169359e-15
"ENSG00000104983.8",-0.0103507463685768,0.654986377358709,0.690797674769401
"ENSG00000104998.4",0.249804317010839,6.84109823836702e-07,1.46729597251017e-06
"ENSG00000105053.11",0.0492915413445422,3.7949849841664e-06,7.58230632853675e-06
"ENSG00000105058.12",0.156043464601173,5.14294887347613e-29,1.25189988014592e-27
"ENSG00000105063.19",0.137000236534123,4.74409267191927e-19,3.10181339459467e-18
"ENSG00000105072.9",-0.0782267539133256,0.00148540788531994,0.00230830142628808
"ENSG00000105085.11",0.21071372490611,2.86636483399697e-06,5.78954730480876e-06
"ENSG00000105088.9",-0.143280808138637,0.0656047015486211,0.0831403107676125
"ENSG00000105122.13",0.336236045204356,7.84341120132027e-12,2.60183068305964e-11
"ENSG00000105127.10",0.0283617185959378,0.0160075907986077,0.0220580832682226
"ENSG00000105131.8",-1.52759352433065,1.70863454279143e-05,3.22714022180898e-05
"ENSG00000105135.16",0.155136691773321,3.55653076833558e-09,9.34564386528621e-09
"ENSG00000105136.22",0.025523114593779,0.166167145277465,0.197569875670846
"ENSG00000105137.13",-0.199887151973833,1.07285389841879e-11,3.51855238648446e-11
"ENSG00000105141.6",-1.90448423020494,2.47298605293205e-05,4.59969407092049e-05
"ENSG00000105143.13",-0.190876228005956,0.383651164272522,0.427314698747232
"ENSG00000105171.10",0.24567467692975,4.78396934131519e-31,1.78502583537078e-29
"ENSG00000105173.14",3.18981429048269,3.85260207419489e-35,4.70769554651918e-33
"ENSG00000105176.18",0.10372280768234,2.29941886502863e-16,1.14433678418454e-15
"ENSG00000105185.12",0.204437189779289,1.87950387837582e-26,2.98530623789046e-25
"ENSG00000105186.16",0.111082585886621,4.35764471948057e-16,2.11009348265217e-15
"ENSG00000105193.9",0.0901583047326625,4.61666512133159e-09,1.20120237475705e-08
"ENSG00000105197.11",0.158187702200132,4.10128880026858e-16,1.9947768600228e-15
